name,id,minutes,contributor_id,submitted,tags,nutrition,n_steps,steps,description,ingredients,n_ingredients
classic margherita pizza,100000,45,2000,2008-01-01,"['italian', 'vegetarian', 'dinner', 'baking']","[410.0, 20.5, 32.8, 41.0, 17.5, 8.2, 49.2]",3,"['gather and prepare all ingredients', 'cook following the classic method', 'season to taste and serve']",A simple Neapolitan-style pizza with fresh basil and mozzarella.,"['flour', 'tomato', 'mozzarella', 'basil', 'olive oil', 'yeast', 'salt']",7
spaghetti aglio e olio,100001,20,2001,2008-02-07,"['italian', 'vegetarian', 'quick', 'dinner', 'pasta']","[350.0, 17.5, 28.0, 35.0, 15.0, 7.0, 42.0]",3,"['gather and prepare all ingredients', 'cook following the classic method', 'season to taste and serve']",Garlic and oil pasta that comes together in minutes.,"['spaghetti', 'garlic', 'olive oil', 'chili flakes', 'parsley', 'salt']",6
creamy mushroom risotto,100002,40,2002,2008-03-15,"['italian', 'vegetarian', 'dinner', 'comfort-food']","[405.0, 20.2, 32.4, 40.5, 17.5, 8.1, 48.6]",3,"['gather and prepare all ingredients', 'cook following the classic method', 'season to taste and serve']",Slow-stirred risotto with earthy mushrooms.,"['arborio rice', 'mushroom', 'onion', 'parmesan', 'butter', 'white wine', 'stock']",7
chicken tikka masala,100003,55,2003,2008-04-21,"['indian', 'dinner', 'spicy', 'curry']","[455.0, 22.8, 36.4, 45.5, 20.0, 9.1, 54.6]",3,"['gather and prepare all ingredients', 'cook following the classic method', 'season to taste and serve']",Grilled chicken in a spiced creamy tomato sauce.,"['chicken', 'yogurt', 'tomato', 'onion', 'garlic', 'ginger', 'garam masala', 'cream']",8
chana masala,100004,35,2004,2008-05-28,"['indian', 'vegetarian', 'vegan', 'curry', 'dinner']","[435.0, 21.8, 34.8, 43.5, 20.0, 8.7, 52.2]",3,"['gather and prepare all ingredients', 'cook following the classic method', 'season to taste and serve']",A tangy chickpea curry with warming spices.,"['chickpeas', 'tomato', 'onion', 'garlic', 'ginger', 'cumin', 'coriander', 'chili']",8
vegetable biryani,100005,60,2005,2008-07-04,"['indian', 'vegetarian', 'dinner', 'rice']","[460.0, 23.0, 36.8, 46.0, 20.0, 9.2, 55.2]",3,"['gather and prepare all ingredients', 'cook following the classic method', 'season to taste and serve']",Fragrant layered rice with mixed vegetables.,"['basmati rice', 'carrot', 'peas', 'onion', 'yogurt', 'garam masala', 'saffron', 'mint']",8
beef tacos,100006,30,2006,2008-08-10,"['mexican', 'dinner', 'quick', 'spicy']","[430.0, 21.5, 34.4, 43.0, 20.0, 8.6, 51.6]",3,"['gather and prepare all ingredients', 'cook following the classic method', 'season to taste and serve']",Weeknight ground beef tacos with fresh toppings.,"['beef', 'tortilla', 'onion', 'tomato', 'cheese', 'cumin', 'chili', 'lettuce']",8
black bean quesadilla,100007,20,2007,2008-09-16,"['mexican', 'vegetarian', 'quick', 'lunch']","[350.0, 17.5, 28.0, 35.0, 15.0, 7.0, 42.0]",3,"['gather and prepare all ingredients', 'cook following the classic method', 'season to taste and serve']",Crispy quesadillas stuffed with beans and cheese.,"['black beans', 'tortilla', 'cheese', 'onion', 'bell pepper', 'cumin']",6
guacamole,100008,15,2008,2008-10-23,"['mexican', 'vegetarian', 'vegan', 'snack', 'quick', 'no-cook']","[345.0, 17.2, 27.6, 34.5, 15.0, 6.9, 41.4]",3,"['gather and prepare all ingredients', 'cook following the classic method', 'season to taste and serve']",Fresh chunky guacamole for dipping.,"['avocado', 'lime', 'onion', 'tomato', 'cilantro', 'salt']",6
chicken fried rice,100009,25,2009,2008-11-29,"['chinese', 'dinner', 'quick']","[425.0, 21.2, 34.0, 42.5, 20.0, 8.5, 51.0]",3,"['gather and prepare all ingredients', 'cook following the classic method', 'season to taste and serve']",A fast stir-fried rice using leftover rice.,"['rice', 'chicken', 'egg', 'soy sauce', 'peas', 'carrot', 'garlic', 'green onion']",8
kung pao tofu,100010,30,2010,2009-01-05,"['chinese', 'vegetarian', 'vegan', 'spicy', 'dinner']","[395.0, 19.8, 31.6, 39.5, 17.5, 7.9, 47.4]",3,"['gather and prepare all ingredients', 'cook following the classic method', 'season to taste and serve']","Sticky, spicy tofu with crunchy peanuts.","['tofu', 'peanuts', 'bell pepper', 'soy sauce', 'garlic', 'chili', 'ginger']",7
egg drop soup,100011,15,2011,2009-02-11,"['chinese', 'quick', 'soup', 'lunch']","[345.0, 17.2, 27.6, 34.5, 15.0, 6.9, 41.4]",3,"['gather and prepare all ingredients', 'cook following the classic method', 'season to taste and serve']",A silky soup that is ready in minutes.,"['egg', 'stock', 'corn starch', 'green onion', 'soy sauce', 'ginger']",6
miso ramen,100012,40,2012,2009-03-20,"['japanese', 'dinner', 'soup', 'comfort-food']","[440.0, 22.0, 35.2, 44.0, 20.0, 8.8, 52.8]",3,"['gather and prepare all ingredients', 'cook following the classic method', 'season to taste and serve']",A warming bowl of miso ramen with a soft egg.,"['ramen noodles', 'miso', 'stock', 'egg', 'green onion', 'garlic', 'ginger', 'corn']",8
teriyaki salmon,100013,25,2013,2009-04-26,"['japanese', 'dinner', 'quick', 'seafood']","[390.0, 19.5, 31.2, 39.0, 17.5, 7.8, 46.8]",3,"['gather and prepare all ingredients', 'cook following the classic method', 'season to taste and serve']",Pan-seared salmon glazed in teriyaki.,"['salmon', 'soy sauce', 'honey', 'garlic', 'ginger', 'rice', 'sesame']",7
vegetable tempura,100014,35,2014,2009-06-02,"['japanese', 'vegetarian', 'fried']","[400.0, 20.0, 32.0, 40.0, 17.5, 8.0, 48.0]",3,"['gather and prepare all ingredients', 'cook following the classic method', 'season to taste and serve']","Light, crispy battered vegetables.","['flour', 'carrot', 'sweet potato', 'zucchini', 'soda water', 'oil', 'salt']",7
greek salad,100015,15,2000,2009-07-09,"['greek', 'vegetarian', 'salad', 'no-cook', 'quick', 'healthy']","[380.0, 19.0, 30.4, 38.0, 17.5, 7.6, 45.6]",3,"['gather and prepare all ingredients', 'cook following the classic method', 'season to taste and serve']","A crisp, refreshing no-cook salad.","['cucumber', 'tomato', 'feta', 'olives', 'onion', 'olive oil', 'oregano']",7
hummus,100016,10,2001,2009-08-15,"['middle-eastern', 'vegetarian', 'vegan', 'snack', 'quick']","[340.0, 17.0, 27.2, 34.0, 15.0, 6.8, 40.8]",3,"['gather and prepare all ingredients', 'cook following the classic method', 'season to taste and serve']",Smooth homemade hummus.,"['chickpeas', 'tahini', 'lemon', 'garlic', 'olive oil', 'cumin']",6
falafel wrap,100017,40,2002,2009-09-21,"['middle-eastern', 'vegetarian', 'vegan', 'lunch']","[440.0, 22.0, 35.2, 44.0, 20.0, 8.8, 52.8]",3,"['gather and prepare all ingredients', 'cook following the classic method', 'season to taste and serve']",Crispy falafel wrapped with tahini sauce.,"['chickpeas', 'onion', 'garlic', 'parsley', 'cumin', 'flour', 'tortilla', 'tahini']",8
french onion soup,100018,60,2003,2009-10-28,"['french', 'soup', 'comfort-food', 'dinner']","[425.0, 21.2, 34.0, 42.5, 17.5, 8.5, 51.0]",3,"['gather and prepare all ingredients', 'cook following the classic method', 'season to taste and serve']",Deeply caramelized onion soup with a cheesy crust.,"['onion', 'butter', 'stock', 'bread', 'cheese', 'thyme', 'white wine']",7
ratatouille,100019,50,2004,2009-12-04,"['french', 'vegetarian', 'vegan', 'healthy', 'dinner']","[450.0, 22.5, 36.0, 45.0, 20.0, 9.0, 54.0]",3,"['gather and prepare all ingredients', 'cook following the classic method', 'season to taste and serve']",A rustic stew of summer vegetables.,"['eggplant', 'zucchini', 'tomato', 'bell pepper', 'onion', 'garlic', 'olive oil', 'thyme']",8
banana pancakes,100020,20,2005,2010-01-10,"['american', 'breakfast', 'vegetarian', 'quick', 'sweet']","[385.0, 19.2, 30.8, 38.5, 17.5, 7.7, 46.2]",3,"['gather and prepare all ingredients', 'cook following the classic method', 'season to taste and serve']",Fluffy pancakes sweetened with ripe banana.,"['flour', 'banana', 'egg', 'milk', 'baking powder', 'butter', 'sugar']",7
classic beef burger,100021,25,2006,2010-02-16,"['american', 'dinner', 'quick']","[390.0, 19.5, 31.2, 39.0, 17.5, 7.8, 46.8]",3,"['gather and prepare all ingredients', 'cook following the classic method', 'season to taste and serve']",A juicy homemade cheeseburger.,"['beef', 'bun', 'cheese', 'lettuce', 'tomato', 'onion', 'pickle']",7
mac and cheese,100022,35,2007,2010-03-25,"['american', 'vegetarian', 'comfort-food', 'dinner']","[365.0, 18.2, 29.2, 36.5, 15.0, 7.3, 43.8]",3,"['gather and prepare all ingredients', 'cook following the classic method', 'season to taste and serve']",Creamy baked macaroni and cheese.,"['macaroni', 'cheese', 'milk', 'butter', 'flour', 'breadcrumbs']",6
caesar salad,100023,20,2008,2010-05-01,"['american', 'salad', 'lunch']","[385.0, 19.2, 30.8, 38.5, 17.5, 7.7, 46.2]",3,"['gather and prepare all ingredients', 'cook following the classic method', 'season to taste and serve']",Crisp romaine with a garlicky dressing.,"['romaine', 'parmesan', 'croutons', 'garlic', 'lemon', 'olive oil', 'egg']",7
tomato basil soup,100024,30,2009,2010-06-07,"['american', 'vegetarian', 'soup', 'comfort-food']","[395.0, 19.8, 31.6, 39.5, 17.5, 7.9, 47.4]",3,"['gather and prepare all ingredients', 'cook following the classic method', 'season to taste and serve']",A smooth tomato soup with fresh basil.,"['tomato', 'onion', 'garlic', 'basil', 'cream', 'stock', 'butter']",7
thai green curry,100025,40,2010,2010-07-14,"['thai', 'dinner', 'spicy', 'curry']","[405.0, 20.2, 32.4, 40.5, 17.5, 8.1, 48.6]",3,"['gather and prepare all ingredients', 'cook following the classic method', 'season to taste and serve']",A creamy coconut curry with fragrant basil.,"['chicken', 'coconut milk', 'green curry paste', 'bamboo', 'basil', 'fish sauce', 'eggplant']",7
pad thai,100026,30,2011,2010-08-20,"['thai', 'dinner', 'quick', 'seafood']","[430.0, 21.5, 34.4, 43.0, 20.0, 8.6, 51.6]",3,"['gather and prepare all ingredients', 'cook following the classic method', 'season to taste and serve']",Sweet and tangy stir-fried noodles.,"['rice noodles', 'shrimp', 'egg', 'peanuts', 'bean sprouts', 'tamarind', 'fish sauce', 'lime']",8
mango sticky rice,100027,45,2012,2010-09-26,"['thai', 'dessert', 'vegetarian', 'vegan', 'sweet']","[340.0, 17.0, 27.2, 34.0, 12.5, 6.8, 40.8]",3,"['gather and prepare all ingredients', 'cook following the classic method', 'season to taste and serve']",A classic Thai dessert with sweet coconut rice.,"['glutinous rice', 'mango', 'coconut milk', 'sugar', 'salt']",5
shakshuka,100028,30,2013,2010-11-02,"['middle-eastern', 'vegetarian', 'breakfast', 'brunch']","[395.0, 19.8, 31.6, 39.5, 17.5, 7.9, 47.4]",3,"['gather and prepare all ingredients', 'cook following the classic method', 'season to taste and serve']",Eggs poached in a spiced tomato sauce.,"['egg', 'tomato', 'bell pepper', 'onion', 'garlic', 'cumin', 'paprika']",7
caprese sandwich,100029,10,2014,2010-12-09,"['italian', 'vegetarian', 'quick', 'lunch', 'no-cook']","[340.0, 17.0, 27.2, 34.0, 15.0, 6.8, 40.8]",3,"['gather and prepare all ingredients', 'cook following the classic method', 'season to taste and serve']",A simple fresh mozzarella and tomato sandwich.,"['bread', 'mozzarella', 'tomato', 'basil', 'olive oil', 'balsamic']",6
lentil soup,100030,40,2000,2011-01-15,"['middle-eastern', 'vegetarian', 'vegan', 'soup', 'healthy']","[405.0, 20.2, 32.4, 40.5, 17.5, 8.1, 48.6]",3,"['gather and prepare all ingredients', 'cook following the classic method', 'season to taste and serve']","A hearty, protein-rich lentil soup.","['lentils', 'onion', 'carrot', 'garlic', 'cumin', 'tomato', 'stock']",7
stuffed bell peppers,100031,55,2001,2011-02-21,"['american', 'dinner', 'comfort-food']","[420.0, 21.0, 33.6, 42.0, 17.5, 8.4, 50.4]",3,"['gather and prepare all ingredients', 'cook following the classic method', 'season to taste and serve']",Peppers baked with a savory rice and beef filling.,"['bell pepper', 'rice', 'beef', 'tomato', 'onion', 'cheese', 'garlic']",7
veggie stir fry,100032,20,2002,2011-03-30,"['chinese', 'vegetarian', 'vegan', 'quick', 'healthy', 'dinner']","[385.0, 19.2, 30.8, 38.5, 17.5, 7.7, 46.2]",3,"['gather and prepare all ingredients', 'cook following the classic method', 'season to taste and serve']",A colorful vegetable stir fry.,"['broccoli', 'carrot', 'bell pepper', 'soy sauce', 'garlic', 'ginger', 'sesame']",7
chocolate chip cookies,100033,30,2003,2011-05-06,"['american', 'dessert', 'vegetarian', 'baking', 'sweet']","[395.0, 19.8, 31.6, 39.5, 17.5, 7.9, 47.4]",3,"['gather and prepare all ingredients', 'cook following the classic method', 'season to taste and serve']",Chewy cookies loaded with chocolate.,"['flour', 'butter', 'sugar', 'egg', 'chocolate chips', 'vanilla', 'baking soda']",7
apple pie,100034,75,2004,2011-06-12,"['american', 'dessert', 'vegetarian', 'baking', 'sweet']","[440.0, 22.0, 35.2, 44.0, 17.5, 8.8, 52.8]",3,"['gather and prepare all ingredients', 'cook following the classic method', 'season to taste and serve']",A flaky double-crust apple pie.,"['flour', 'butter', 'apple', 'sugar', 'cinnamon', 'lemon', 'egg']",7
blueberry muffins,100035,35,2005,2011-07-19,"['american', 'breakfast', 'vegetarian', 'baking', 'sweet']","[400.0, 20.0, 32.0, 40.0, 17.5, 8.0, 48.0]",3,"['gather and prepare all ingredients', 'cook following the classic method', 'season to taste and serve']",Soft muffins bursting with blueberries.,"['flour', 'blueberry', 'sugar', 'egg', 'milk', 'butter', 'baking powder']",7
minestrone soup,100036,45,2006,2011-08-25,"['italian', 'vegetarian', 'vegan', 'soup', 'healthy']","[445.0, 22.2, 35.6, 44.5, 20.0, 8.9, 53.4]",3,"['gather and prepare all ingredients', 'cook following the classic method', 'season to taste and serve']",A chunky Italian vegetable and bean soup.,"['beans', 'tomato', 'carrot', 'celery', 'onion', 'pasta', 'zucchini', 'stock']",8
chicken noodle soup,100037,40,2007,2011-10-01,"['american', 'soup', 'comfort-food', 'dinner']","[405.0, 20.2, 32.4, 40.5, 17.5, 8.1, 48.6]",3,"['gather and prepare all ingredients', 'cook following the classic method', 'season to taste and serve']",Classic comforting chicken noodle soup.,"['chicken', 'noodles', 'carrot', 'celery', 'onion', 'garlic', 'stock']",7
shrimp scampi,100038,20,2008,2011-11-07,"['italian', 'dinner', 'quick', 'seafood']","[385.0, 19.2, 30.8, 38.5, 17.5, 7.7, 46.2]",3,"['gather and prepare all ingredients', 'cook following the classic method', 'season to taste and serve']",Garlicky shrimp tossed with pasta.,"['shrimp', 'garlic', 'butter', 'white wine', 'lemon', 'parsley', 'spaghetti']",7
veggie omelette,100039,15,2009,2011-12-14,"['american', 'breakfast', 'vegetarian', 'quick']","[345.0, 17.2, 27.6, 34.5, 15.0, 6.9, 41.4]",3,"['gather and prepare all ingredients', 'cook following the classic method', 'season to taste and serve']",A fluffy omelette packed with vegetables.,"['egg', 'bell pepper', 'onion', 'cheese', 'spinach', 'butter']",6
sweet potato curry,100040,40,2010,2012-01-20,"['indian', 'vegetarian', 'vegan', 'curry', 'healthy', 'dinner']","[405.0, 20.2, 32.4, 40.5, 17.5, 8.1, 48.6]",3,"['gather and prepare all ingredients', 'cook following the classic method', 'season to taste and serve']",A creamy vegan curry with sweet potato and spinach.,"['sweet potato', 'coconut milk', 'onion', 'garlic', 'ginger', 'spinach', 'curry powder']",7
beef stir fry,100041,25,2011,2012-02-26,"['chinese', 'dinner', 'quick']","[390.0, 19.5, 31.2, 39.0, 17.5, 7.8, 46.8]",3,"['gather and prepare all ingredients', 'cook following the classic method', 'season to taste and serve']",Tender beef and broccoli in a savory sauce.,"['beef', 'broccoli', 'soy sauce', 'garlic', 'ginger', 'corn starch', 'green onion']",7
caprese pasta salad,100042,20,2012,2012-04-03,"['italian', 'vegetarian', 'salad', 'lunch']","[350.0, 17.5, 28.0, 35.0, 15.0, 7.0, 42.0]",3,"['gather and prepare all ingredients', 'cook following the classic method', 'season to taste and serve']",A cold pasta salad with mozzarella and basil.,"['pasta', 'tomato', 'mozzarella', 'basil', 'olive oil', 'balsamic']",6
tuna salad sandwich,100043,10,2013,2012-05-10,"['american', 'lunch', 'quick', 'no-cook']","[340.0, 17.0, 27.2, 34.0, 15.0, 6.8, 40.8]",3,"['gather and prepare all ingredients', 'cook following the classic method', 'season to taste and serve']",A quick tuna salad sandwich.,"['tuna', 'mayonnaise', 'celery', 'onion', 'bread', 'lemon']",6
potato leek soup,100044,45,2014,2012-06-16,"['french', 'vegetarian', 'soup', 'comfort-food']","[375.0, 18.8, 30.0, 37.5, 15.0, 7.5, 45.0]",3,"['gather and prepare all ingredients', 'cook following the classic method', 'season to taste and serve']",A silky pureed potato and leek soup.,"['potato', 'leek', 'onion', 'butter', 'cream', 'stock']",6
baked ziti,100045,50,2000,2012-07-23,"['italian', 'vegetarian', 'dinner', 'baking', 'comfort-food']","[415.0, 20.8, 33.2, 41.5, 17.5, 8.3, 49.8]",3,"['gather and prepare all ingredients', 'cook following the classic method', 'season to taste and serve']",Cheesy baked pasta with tomato sauce.,"['ziti', 'tomato', 'mozzarella', 'ricotta', 'garlic', 'onion', 'basil']",7
chicken caesar wrap,100046,15,2001,2012-08-29,"['american', 'lunch', 'quick']","[310.0, 15.5, 24.8, 31.0, 12.5, 6.2, 37.2]",3,"['gather and prepare all ingredients', 'cook following the classic method', 'season to taste and serve']",A portable version of the caesar salad.,"['chicken', 'tortilla', 'romaine', 'parmesan', 'caesar dressing']",5
veggie burrito bowl,100047,25,2002,2012-10-05,"['mexican', 'vegetarian', 'vegan', 'healthy', 'lunch']","[390.0, 19.5, 31.2, 39.0, 17.5, 7.8, 46.8]",3,"['gather and prepare all ingredients', 'cook following the classic method', 'season to taste and serve']",A build-your-own bowl with beans and rice.,"['rice', 'black beans', 'corn', 'avocado', 'tomato', 'lime', 'cilantro']",7
pumpkin soup,100048,40,2003,2012-11-11,"['american', 'vegetarian', 'soup', 'healthy']","[405.0, 20.2, 32.4, 40.5, 17.5, 8.1, 48.6]",3,"['gather and prepare all ingredients', 'cook following the classic method', 'season to taste and serve']",A velvety spiced pumpkin soup.,"['pumpkin', 'onion', 'garlic', 'cream', 'stock', 'nutmeg', 'butter']",7
garlic butter shrimp,100049,15,2004,2012-12-18,"['american', 'quick', 'seafood', 'dinner']","[345.0, 17.2, 27.6, 34.5, 15.0, 6.9, 41.4]",3,"['gather and prepare all ingredients', 'cook following the classic method', 'season to taste and serve']",Juicy shrimp in a garlic butter sauce.,"['shrimp', 'garlic', 'butter', 'lemon', 'parsley', 'chili flakes']",6
